# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
EnderIO:blockExperienceObelisk                     # Experience Obelisk
EnderIO:blockFarmStation                           # Farming Station
EnderIO:blockFire_water                            # Fire Water
EnderIO:blockFrankenzombieGenerator                # Frank'N'Zombie Generator
EnderIO:blockFusedQuartz                           # Fused Quartz
EnderIO:blockHootch                                # Hootch
EnderIO:blockHyperCube                             # Dimensional Transceiver (Deprecated)
EnderIO:blockIngotStorage                          # Electrical Steel Block
EnderIO:blockIngotStorageEndergy                   # Clay Compound Block
EnderIO:blockInhibitorObelisk                      # tile.blockInhibitorObelisk.name
EnderIO:blockInventoryPanel                        # Inventory Panel
EnderIO:blockKillerJoe                             # Killer Joe
EnderIO:blockLightNode                             # Light Node
EnderIO:blockLiquid_sunshine                       # Liquid Sunshine
EnderIO:blockNutrient_distillation                 # Nutrient Distillation
EnderIO:blockPaintedCarpet                         # Painted Carpet
EnderIO:blockPaintedDoubleSlab                     # Painted Slab
EnderIO:blockPaintedFence                          # Painted Fence
EnderIO:blockPaintedFenceGate                      # Painted Gate
EnderIO:blockPaintedGlowstone                      # Painted Glowstone
EnderIO:blockPaintedSlab                           # Painted Slab
EnderIO:blockPaintedStair                          # Painted Stairs
EnderIO:blockPaintedWall                           # Painted Wall
EnderIO:blockPainter                               # Painting Machine
EnderIO:blockPowerMonitor                          # Power Monitor
EnderIO:blockPoweredSpawner                        # Powered Spawner
EnderIO:blockReinforcedObsidian                    # Reinforced Obsidian
EnderIO:blockReservoir                             # Reservoir
EnderIO:blockRocket_fuel                           # Rocket Fuel
EnderIO:blockSagMill                               # SAG Mill
EnderIO:blockSliceAndSplice                        # Slice'N'Splice
EnderIO:blockSolarPanel                            # Photovoltaic Cell
EnderIO:blockSoulBinder                            # Soul Binder
EnderIO:blockSoulariumBars                         # Soularium Bars
EnderIO:blockSpawnGuard                            # Aversion Obelisk
EnderIO:blockStirlingGenerator                     # Stirling Generator
EnderIO:blockTank                                  # Fluid Tank
EnderIO:blockTelePad                               # Telepad Block
EnderIO:blockTransceiver                           # Dimensional Transceiver
EnderIO:blockTravelAnchor                          # Travel Anchor
EnderIO:blockVacuumChest                           # Vacuum Chest
EnderIO:blockVapor_of_levity                       # Vapor of Levity
EnderIO:blockVat                                   # The Vat
EnderIO:blockWeatherObelisk                        # Weather Obelisk
EnderIO:blockWirelessCharger                       # Wireless Charger
EnderIO:blockZombieGenerator                       # Zombie Generator
EnderIO:bucketCloud_seed                           # Cloud Seed Bucket
EnderIO:bucketCloud_seed_concentrated              # Concentrated Cloud Seed Bucket
EnderIO:bucketEnder_distillation                   # Dew of the Void Bucket
EnderIO:bucketFire_water                           # Fire Water Bucket
EnderIO:bucketHootch                               # Hootch Bucket
EnderIO:bucketLiquid_sunshine                      # Liquid Sunshine Bucket
EnderIO:bucketNutrient_distillation                # Nutrient Distillation Bucket
EnderIO:bucketRocket_fuel                          # Rocket Fuel Bucket
EnderIO:bucketVapor_of_levity                      # Vapor of Levity Bucket
EnderIO:item.darkSteel_axe                         # Dark Axe
EnderIO:item.darkSteel_boots                       # Dark Boots
EnderIO:item.darkSteel_chestplate                  # Dark Plate
EnderIO:item.darkSteel_helmet                      # Dark Helm
EnderIO:item.darkSteel_leggings                    # Dark Leggings
EnderIO:item.darkSteel_pickaxe                     # Dark Pick
EnderIO:item.darkSteel_shears                      # Dark Shears
EnderIO:item.darkSteel_sword                       # The Ender
EnderIO:item.endSteel_axe                          # End Steel Axe
EnderIO:item.endSteel_boots                        # End Steel Boots
EnderIO:item.endSteel_chestplate                   # End Steel Plate
EnderIO:item.endSteel_helmet                       # End Steel Helm
EnderIO:item.endSteel_leggings                     # End Steel Leggings
EnderIO:item.endSteel_pickaxe                      # End Steel Pick
EnderIO:item.endSteel_sword                        # The Ender MKII
EnderIO:item.stellar_axe                           # Stellar Axe
EnderIO:item.stellar_boots                         # Stellar Boots
EnderIO:item.stellar_chestplate                    # Stellar Plate
EnderIO:item.stellar_helmet                        # Stellar Helm
EnderIO:item.stellar_leggings                      # Stellar Leggings
EnderIO:item.stellar_pickaxe                       # Stellar Pick
EnderIO:item.stellar_sword                         # The Ender MKIV
EnderIO:itemAlloy                                  # Electrical Steel
EnderIO:itemAlloyEndergy                           # Clay Compound
EnderIO:itemBasicCapacitor                         # Basic Capacitor
EnderIO:itemBasicFilterUpgrade                     # Basic Item Filter
EnderIO:itemBigFilterUpgrade                       # Big Item Filter
EnderIO:itemBrokenSpawner                          # Broken Spawner
EnderIO:itemConduitFacade                          # Conduit Facade
EnderIO:itemConduitProbe                           # Conduit Probe
EnderIO:itemCoordSelector                          # Coordinate Selector
EnderIO:itemEnderFood                              # "Enderios"
EnderIO:itemEnderface                              # Enderface
EnderIO:itemExistingItemFilter                     # Existing Item Filter
EnderIO:itemExtractSpeedUpgrade                    # Item Conduit Speed Upgrade
EnderIO:itemFrankenSkull                           # Zombie Electrode
EnderIO:itemFunctionUpgrade                        # Remote Awareness Upgrade
EnderIO:itemFusedQuartzFrame                       # Fused Quartz Frame
EnderIO:itemGasConduit                             # Gas Conduit
EnderIO:itemGliderWing                             # Glider Wing
EnderIO:itemGrindingBall                           # Electrical Steel Ball
EnderIO:itemGrindingBallEndergy                    # Clay Compound Grinding Ball
EnderIO:itemItemConduit                            # Item Conduit
EnderIO:itemLimitedItemFilter                      # Limited Item Filter
EnderIO:itemLiquidConduit                          # Fluid Conduit
EnderIO:itemMEConduit                              # ME Conduit
EnderIO:itemMachinePart                            # Machine Chassis
EnderIO:itemMagnet                                 # Electromagnet
EnderIO:itemMaterial                               # Silicon
EnderIO:itemModItemFilter                          # Mod Item Filter
EnderIO:itemOCConduit                              # Network Conduit (OC)
EnderIO:itemPowderIngot                            # Coal Powder
EnderIO:itemPowerConduit                           # Energy Conduit
EnderIO:itemPowerConduitEndergy                    # Clay Compound Energy Conduit
EnderIO:itemPowerItemFilter                        # Chargeable Item Filter
EnderIO:itemRedstoneConduit                        # Redstone Conduit
EnderIO:itemSoulVessel                             # Soul Vial
EnderIO:itemTeleportStaff                          # Staff of Teleportation
EnderIO:itemTravelStaff                            # Staff of Traveling
EnderIO:itemXpTransfer                             # Experience Rod
EnderIO:itemYetaWrench                             # Yeta Wrench
EnderStorage:enderChest                            # Ender Chest
EnderStorage:enderPouch                            # Ender Pouch
EnderTech:chargePad                                # Creative Charge Pad
EnderTech:endertech.enderTankController            # Ender Tank Controller
EnderTech:endertech.enderTankPart                  # Ender Tank Frame
EnderTech:endertech.exchanger                      # Creative Exchanger
EnderTech:endertech.multiblockGlass                # Ender Tank Glass
EnderTech:healthPad                                # Creative Health Pad
ExpOre:experienceOre                               # Experience Ore
ExpandedRailsMod:armedRail                         # Armed Rail
ExpandedRailsMod:blackWoolRail                     # Black Wool Rail
ExpandedRailsMod:blueWoolRail                      # Blue Wool Rail
ExpandedRailsMod:brickRail                         # Brick Rail
ExpandedRailsMod:brownWoolRail                     # Brown Wool Rail
ExpandedRailsMod:chainRail                         # Chain Rail
ExpandedRailsMod:cyanWoolRail                      # Cyan Wool Rail
ExpandedRailsMod:diamondBar                        # Diamond Bar
ExpandedRailsMod:diamondNail                       # Diamond Nail
ExpandedRailsMod:diamondNetherRail                 # Diamond-Nether Rail
ExpandedRailsMod:diamondRail                       # Diamond Rail
ExpandedRailsMod:diamondoORail                     # Diamond-Obsidian Rail
ExpandedRailsMod:emeraldBar                        # Emerald Bar
ExpandedRailsMod:emeraldNail                       # Emerald Nail
ExpandedRailsMod:emeraldRail                       # Emerald Rail
ExpandedRailsMod:enderPearlRail                    # EnderPearl Rail
ExpandedRailsMod:explosiveBar                      # Explosive Bar
ExpandedRailsMod:glowstoneRail                     # Glowing Rail
ExpandedRailsMod:goldNail                          # Gold Nail
ExpandedRailsMod:grayWoolRail                      # Gray Wool Rail
ExpandedRailsMod:greenWoolRail                     # Green Wool Rail
ExpandedRailsMod:iceRail                           # Ice Rail
ExpandedRailsMod:ironNail                          # Iron Nail
ExpandedRailsMod:lapisBar                          # Lapis Lazuli Bar
ExpandedRailsMod:lapisRail                         # Lapis Lazuli Rail
ExpandedRailsMod:lightblueWoolRail                 # LightBlue Wool Rail
ExpandedRailsMod:lightgrayWoolRail                 # LightGray Wool Rail
ExpandedRailsMod:limeWoolRail                      # Lime Wool Rail
ExpandedRailsMod:magentaWoolRail                   # Magenta Wool Rail
ExpandedRailsMod:monorailArmed                     # Armed Monorail
ExpandedRailsMod:monorailBlack                     # Black Monorail
